sortKey,city,state,country,name,typeSlug,distanceSlugs,providerSlug,detailUrl
2026-07-05T18:26,Campinas,SP,Brasil,Circuito das Estações 2026 - Inverno - Campinas,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-campinas
2026-07-05T20:16,Recife,PE,Brasil,Circuito das Estações 2026 - Inverno - Recife,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-recife
2026-07-12T03:00,Rio de Janeiro,RJ,Brasil,Blue Run 2026 - Rio de Janeiro,road,5km;10km,running-land,https://www.runningland.com.br/eventos/blue-run-2026-rio-de-janeiro
2026-07-12T03:00,Aracaju,SE,Brasil,Circuito das Estações 2026 - Inverno - Aracaju,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-aracaju
2026-07-12T03:00,Belo Horizonte,MG,Brasil,Circuito das Estações 2026 - Inverno - Belo Horizonte,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-belo-horizonte
2026-07-12T03:00,Campo Grande,MS,Brasil,Circuito das Estações 2026 - Inverno - Campo Grande,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-campo-grande
2026-07-12T12:00,São Paulo,SP,Brasil,1ª Miraculous Ladybug Family Sports,road,,yescom,https://www.yescom.com.br/miraculousrun/index.asp
2026-07-12T12:00,Porto Belo,SC,Brasil,Costa Esmeralda Trail,trail,12km;25km,corre-brasil,https://www.correbrasil.com.br/cópia-costa-esmeralda-trail-2025
2026-07-12T19:58,Macaé,RJ,Brasil,Desafio Energia Petrobras - Macaé 2026,road,5km;10km,running-land,https://www.runningland.com.br/eventos/desafio-energia-petrobras-macae-2026
2026-07-19T14:27,Rio de Janeiro,RJ,Brasil,Circuito Banco do Brasil 2026 - Rio de Janeiro,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-banco-do-brasil-2026-rj
2026-07-19T17:34,Salvador,BA,Brasil,Circuito das Estações 2026 - Inverno - Salvador,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-salvador
2026-07-26T03:00,Rio de Janeiro,RJ,Brasil,Bravus Speed I - Rio de Janeiro 2026,road,,running-land,https://www.runningland.com.br/eventos/bravus-speed-i-rio-de-janeiro-2026
2026-07-26T05:15,São Paulo,SP,Brasil,Nike SP City Marathon 2026,road,21-1km;42-2km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/sp-city-marathon-2026
2026-07-31T12:00,Penha,SC,Brasil,Desafio Beto Carrero,road,5km;6km;10km,corre-brasil,https://www.correbrasil.com.br/desafio-bcw-2026
2026-08-02T03:00,Belo Horizonte,MG,Brasil,Circuito Banco do Brasil 2026 - Belo Horizonte,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-banco-do-brasil-2026-belo-horizonte
2026-08-02T12:00,São Paulo,SP,Brasil,3ª Hello Kitty and Friends Fun Run,road,,yescom,https://www.yescom.com.br/hellokittyfunrun/2026/sp/index.asp
2026-08-09T03:00,Natal,RN,Brasil,Circuito das Estações 2026 - Inverno - Natal,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-natal
2026-08-16T03:00,São Paulo,SP,Brasil,Bravus Monster - São Paulo 2026,road,,running-land,https://www.runningland.com.br/eventos/bravus-monster-s-o-paulo-2026
2026-08-16T12:00,Rio de Janeiro,RJ,Brasil,28ª Meia Maratona Intl do Rio de Janeiro - Rio Intl Half Marathon,road,,yescom,https://www.yescom.com.br/meiadorio/2026/index.asp
2026-08-16T12:00,Balneário Camboriú,SC,Brasil,CORRIDA BRISAS,road,5km;10km,corre-brasil,https://www.correbrasil.com.br/corrida-brisas-2026
2026-08-23T16:19,Macaé,RJ,Brasil,Desafio Energia Petrobras - Bike - Recife 2026,road,10km,running-land,https://www.runningland.com.br/eventos/desafio-energia-petrobras-bike-recife-2026
2026-08-30T03:00,Salvador,BA,Brasil,Blue Run 2026 - Salvador,road,5km;10km,running-land,https://www.runningland.com.br/eventos/blue-run-2026-salvador
2026-08-30T05:30,São Paulo,SP,Brasil,Run The Bridge 2026,road,5km;10km;15km;30km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/run-the-bridge-2026
2026-09-01T12:00,Santa Catarina,SC,Brasil,VOLTA CICLÍSTICA,adventure,,corre-brasil,https://www.correbrasil.com.br/calendario-corridas
2026-09-06T03:00,Goiania,GO,Brasil,Circuito das Estações 2026 - Primavera - Goiânia,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-goiania
2026-09-13T03:00,Cuiabá,MT,Brasil,Circuito das Estações 2026 - Primavera - Cuiabá,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-cuiaba
